1	爱	愛	ài	amar	love		爱	FALSE	
2	爱好	愛好	ài hào	pasatiempo	hobby		爱好	FALSE	
3	爸爸	爸爸	bàba	papá	dad		爸爸	FALSE	
4	白（形）	白	bái	sin resultados; en vano; esfuerzos de desechos; blanco	without results; in vain; waste efforts; white		白	TRUE	
5	八	八	bā	ocho	eight		八	FALSE	
6	白天	白天	bái tiān	día	day		白天	FALSE	
7	班	班	bān	clase	class		班	FALSE	
8	百	百	bǎi	centenar	hundred		百	FALSE	
9	吧	吧	ba	(partícula de interjección)	(interjection particle)		吧	FALSE	
10	半	半	bàn	medio	half		半	FALSE	
11	半年	半年	bàn nián	medio año	half a year		半年	FALSE	
12	半天	半天	bàn tiān	medio día	half day		半天	FALSE	
13	帮	幫	bāng	ayuda	help		帮	FALSE	
14	帮忙	幫忙	bāng máng	ayuda	help		帮忙	FALSE	
15	包	包	bāo	paquete	package		包	FALSE	
16	包子	包子	bāo zi	bollo	bun		包子	FALSE	
17	杯	盃	bēi	taza	cup		杯	FALSE	
18	杯子	杯子	bēi zi	taza	cup		杯子	FALSE	
19	北边	北邊	běi biān	lado norte	North side		北边	FALSE	
20	本（量）	本	běn	este; originalmente; (mida la palabra para libros o volúmenes)	this; originally; (measure word for books or volumes)		本	TRUE	
21	北京	北京	běi jīng	beijing	Beijing		北京	FALSE	
22	北	北	běi	norte	north		北	FALSE	
23	本子	本子	běn zi	libro	book		本子	FALSE	
24	别（副）	彆	bié	no; dejar; separado; alfiler	do not; leave; separate; pin		别	TRUE	
25	别的	別的	bié de	otro	other		别的	FALSE	
26	别人	別人	bié·rén	otra gente	other people		别人	FALSE	
27	病	病	bìng	enfermedad	disease		病	FALSE	
28	病人	病人	bìng rén	paciente	patient		病人	FALSE	
29	比	比	bǐ	partícula utilizada para comparación	particle used for comparison		比	FALSE	
30	不大	不大	bú dà	no grande	not big		不大	FALSE	
31	不客气	不客氣	bú kè qì	de nada	You’re welcome		不客气	FALSE	
32	不用	不用	bú yòng	no hay necesidad de	No need to		不用	FALSE	
33	菜	菜	cài	plato	dish		菜	FALSE	
34	不对	不對	bú duì	equivocado	wrong		不对	FALSE	
35	差	差	chà	difiere de; malo; escaso de	differ from; bad; short of		差	FALSE	
36	不	不	bù	no	No		不	FALSE	
37	茶	茶	chá	té	tea		茶	FALSE	
38	常常	常常	cháng cháng	a menudo	often		常常	FALSE	
39	常	常	cháng	a menudo	often		常	FALSE	
40	车	車	chē	auto	car		车	FALSE	
41	唱歌	唱歌	chàng gē	cantar	sing		唱歌	FALSE	
42	车上	車上	chē shàng	en el auto	in the car		车上	FALSE	
43	车票	車票	chē piào	boleto	ticket		车票	FALSE	
44	唱	唱	chàng	cantar	sing		唱	FALSE	
45	吃	喫	chī	comer	eat		吃	FALSE	
46	车站	車站	chē zhàn	estación	station		车站	FALSE	
47	吃饭	吃飯	chī fàn	tener comida	have meal		吃饭	FALSE	
48	出来	出來	chū lái	venir	come		出来	FALSE	
49	出	齣	chū	afuera	out		出	FALSE	
50	出去	出去	chū qù	salir	go out		出去	FALSE	
51	床	牀	chuáng	cama	bed		床	FALSE	
52	次（量）	次	cì	(mida la palabra para tiempos, frecuencia) segunda categoría; secundario	(measure word for times, frequency) second-rate; secondary		次	TRUE	
53	穿	穿	chuān	tener puesto	wear		穿	FALSE	
54	错	錯	cuò	equivocado	wrong		错	FALSE	
55	从	從	cóng	de	from		从	FALSE	
56	打（动）	打	dǎ	huelga; golpear; romper; luchar; construir; derrotar; tomar; de; desde	strike; hit; break; fight; build; beat; take; from; since		打	TRUE	
57	打车	打車	dǎ chē	toma un taxi	take a taxi		打车	FALSE	
58	打电话	打電話	dǎ diàn huà	hacer una llamada telefónica	make a phonecall		打电话	FALSE	
59	打开	打開	dǎ kāi	encender	turn on		打开	FALSE	
60	打球	打球	dǎ qiú	jugar a la pelota	play ball		打球	FALSE	
61	大学	大學	dà xué	universidad	university		大学	FALSE	
62	大	大	dà	bastante grande	large, big		大	FALSE	
63	大学生	大學生	dà xué shēng	estudiante universitario	university student		大学生	FALSE	
64	得到	得到	dé dào	conseguir	get		得到	FALSE	
65	到	到	dào	alcanzar	reach		到	FALSE	
66	等（动）	等	děng	etc.; esperar	etc.; wait		等	TRUE	
67	地点	地點	dìdiǎn	ubicación	location		地点	FALSE	
68	地	地	de	palabra auxiliar	auxiliary word		地	FALSE	
69	地方	地方	dìfang	local	local		地方	TRUE	
70	地上	地上	dì shàng	en el piso	on the ground		地上	FALSE	
71	的	的	de	(aux.)	(aux.)		的	FALSE	
72	地图	地圖	dìtú	mapa	Map		地图	FALSE	
73	弟弟	弟弟	dìdi	love	love		弟弟	FALSE	
74	第（第二）	第	dì （ dì èr ）	palabra auxiliar para números ordinales (segundo)	auxiliary word for ordinal numbers (second )		第	FALSE	
75	点	點	diǎn	lugar	spot		点	FALSE	
76	电话	電話	diàn huà	teléfono	phone		电话	FALSE	
77	电	電	diàn	electricidad	electricity		电	FALSE	
78	电脑	電腦	diànnǎo	computadora	Computer		电脑	FALSE	
79	电视机	電視機	diàn shì jī	televisión	television		电视机	FALSE	
80	电影	電影	diànyǐng	película	Film		电影	FALSE	
81	电视	電視	diànshì	televisión	television		电视	FALSE	
82	电影院	電影院	diàn yǐng yuàn	cine; cine	cinema; movie theater		电影院	FALSE	
83	东边	東邊	dōng biān	lado este	east side		东边	FALSE	
84	东	東	dōng	este	east		东	FALSE	
85	东西	東西	dōngxi	cosa	thing		东西	FALSE	
86	动	動	dòng	mover	move		动	FALSE	
87	动作	動作	dòngzuò	acción	action		动作	FALSE	
88	读	讀	dú	leer	read		读	FALSE	
89	都	都	dōu	todo	all		都	FALSE	
90	读书	讀書	dú shū	lectura; estudiar	reading; study		读书	FALSE	
91	对不起	對不起	duìbuqǐ	lo lamento.	I’m sorry.		对不起	FALSE	
92	多（形、代）	多	duō	muchos; mucho; más	many; much; more		多	TRUE	
93	多少	多少	duōshao	cuánto	how much		多少	FALSE	
94	儿子	兒子	érzi	hijo	Son		儿子	FALSE	
95	饿	餓	è	hambriento	hungry		饿	FALSE	
96	对（形）	對	duì	bien; a; en; rostro; ser opuesto; respuesta	right; to; at; face; be opposite; answer		对	TRUE	
97	二	二	èr	dos	Two		二	FALSE	
98	饭	飯	fàn	arroz; comida	rice; meal		饭	FALSE	
99	饭店	飯店	fàndiàn	restaurante	restaurant		饭店	FALSE	
100	房间	房間	fángjiān	habitación	Room		房间	FALSE	
101	房子	房子	fáng zi	casa; edificio	house; building		房子	FALSE	
102	放	放	fàng	descargar	discharge		放	FALSE	
103	放假	放假	fàng jià	día festivo; tener unas vacaciones	holiday; have a holiday		放假	FALSE	
104	飞	飛	fēi	volar	fly		飞	FALSE	
105	放学	放學	fàng xué	fuera de la escuela	off school		放学	FALSE	
106	飞机	飛機	fēijī	aeronave	aircraft		飞机	FALSE	
107	非常	非常	fēicháng	muy	very		非常	FALSE	
108	分（名、量）	分	fēn	minuto; punto; parte; (palabra de medida) dividir; parte; distribuir	minute; point; part; (measure word) divide; part; distribute		分	TRUE	
109	风	風	fēng	viento	wind		风	FALSE	
110	干	幹	gān	seco	dry		干	FALSE	
111	干净	乾淨	gānjìng	limpio	clean		干净	FALSE	
112	高兴	高興	gāoxìng	feliz	happy		高兴	FALSE	
113	高	高	gāo	alto	high		高	FALSE	
114	告诉	告訴	gàosu	decir	tell		告诉	FALSE	
115	哥哥	哥哥	gēge	hermano mayor	elder brother		哥哥	FALSE	
116	歌	謌	gē	canción	song		歌	FALSE	
117	干什么	幹甚麼	gàn shén me	qué hacer	What to do		干什么	FALSE	
118	个	箇	gè	individual	individual		个	FALSE	
119	给	給	gěi	dar	give		给	FALSE	
120	跟	跟	gēn	con	with		跟	FALSE	
121	工人	工人	gōngrén	obrero	Worker		工人	FALSE	
122	工作	工作	gōngzuò	trabajar	work		工作	FALSE	
123	关（动）	關	guān	aprobar; punto de control; aduana; mecanismo; barrera; cerrar; cerca; apagar	pass; check point; customhouse; mechanism; barrier; shut; close; turn off		关	TRUE	
124	关上	關上	guān shàng	cerrar; cerrar a; apagar	close;shut to; turn off		关上	FALSE	
125	国	國	guó	país; estado; nación	country; state; nation		国	FALSE	
126	国家	國家	guójiā	país	Country		国家	FALSE	
127	贵	貴	guì	noble	noble		贵	FALSE	
128	国外	國外	guó wài	extranjero; de ultramar; en el extranjero	foreign; oversea; abroad		国外	FALSE	
129	还是	還是	háishi	aún	still		还是	FALSE	
130	孩子	孩子	háizi	niños	Children		孩子	FALSE	
131	还有	還有	hái yǒu	también; además; además	also; in addition; besides		还有	FALSE	
132	过	過	guò	cruz; aprobar; gastar; vivir	cross; pass; spend; live		过	TRUE	
133	汉语	漢語	hànyǔ	chino	Chinese		汉语	FALSE	
134	还	還	hái	también; aún; todavía	also; still; yet		还	FALSE	
135	汉字	漢字	hàn zì	personaje chino	Chinese character		汉字	FALSE	
136	好（形）	好	hǎo	bueno; bien	well; fine; okay; good		好	TRUE	
137	好吃	好吃	hǎochī	delicioso	Yummy		好吃	FALSE	
138	好看	好看	hǎo kàn	buen mozo	good looking		好看	FALSE	
139	好听	好聽	hǎo tīng	agradable escuchar	pleasant to hear		好听	FALSE	
140	好玩儿	好玩兒	hǎo wánr	divertido; interesante	fun; interesting		好玩儿	FALSE	
141	号	號	hào	número/fecha	Number/date		号	FALSE	
142	喝	喝	hē	beber	drink		喝	FALSE	
143	和	龢	hé	y	and		和	FALSE	
144	很	很	hěn	muy	very		很	FALSE	
145	后	後	hòu	atrás; detrás; después; más tarde	back; behind; after; later		后	FALSE	
146	后边	後邊	hòu biān	detrás; atrás	behind; back		后边	FALSE	
147	话	諙	huà	palabra; palabras	word; words		话	FALSE	
148	后天	後天	hòu tiān	pasado mañana	day after tomorrow		后天	FALSE	
149	坏	壞	huài	malo	bad		坏	FALSE	
150	回答	回答	huídá	respuesta	Answer		回答	FALSE	
151	回（动）	逥	huí	regresa; devolver	go back; return		回	TRUE	
152	花（名）	蘤	huā	gastar; flor; multicolor; de colores; florido	spend; expend; flower; multicoloured; coloured		花	TRUE	
153	回到	回到	huí dào	de regreso	back to		回到	FALSE	
154	回家	回家	huí jiā	vete a casa; volver a casa	go home; return home		回家	FALSE	
155	回去	回去	huí qù	regresa	go back		回去	FALSE	
156	回来	回來	huí lái	regresar; devolver	come back; return		回来	FALSE	
157	会（动）	會	huì	reunión; reunión; conferencia; unión; fiesta; poder; ser capaz de	meeting; gathering; conference; union; party; can; be able to		会	TRUE	
158	火车	火車	huǒ chē	tren	train		火车	FALSE	
159	机场	機場	jīchǎng	aeropuerto	Airport		机场	FALSE	
160	鸡蛋	雞蛋	jīdàn	huevo	Egg		鸡蛋	FALSE	
161	机票	機票	jī piào	boleto aereo	air ticket		机票	FALSE	
162	几	幾	jǐ	varios	several		几	FALSE	
163	记得	記得	jìdé	recordar	remember		记得	FALSE	
164	记住	記住	jì zhù	recordar; tenga en cuenta	remember; keep in mind		记住	FALSE	
165	家	家	jiā	hogar	home		家	TRUE	
166	记	記	jì	recordar	remember		记	FALSE	
167	家里	家裡	jiā lǐ	en la casa	In the home		家里	FALSE	
168	见面	見面	jiànmiàn	encontrarse	meet		见面	FALSE	
169	教	教	jiāo	enseñar	teach		教	FALSE	
170	家人	家人	jiā rén	familia	family		家人	FALSE	
171	间	間	jiān	entre; medir palabra para habitaciones	between; measure word for rooms		间	FALSE	
172	见	見	jiàn	ver; encontrarse	see; meet		见	FALSE	
